survey,stationName,surveyDate,surveyStartTime,surveyEndTime,dataRecorder,latDD,longDD,airTemp,weather,cloudCover,seaState,profiler,otherProfilerType,profilerMethod,bottleMethod,depthProfiler,depthFinder,secchi,exoProfileNumber,notes,tideStage,OASamples,OAFilteredSfc,OAFilteredBtm,OADupSampleName,OAblankSampleName,OANotes,allSamplesList,minDO_station,sampleName,sampleDepth,depthCode,sampleTime,waterTemp,salinity,dissolvedOxygen,pH,chlA,fDOM,turbidity,mV_pH,cablePower,otherParameters,surveySampleName,generalPlanktonNotes,revolStartA,revolStartB,revolStartD,revolEndA,revolEndB,revolEndD,totalRevA,totalRevB,totalRevD,volTowNetA,volTowNetB,bottle1Depth,bottle2Depth,bottle3Depth,bottle4Depth,bottle5Depth,bottle6Depth,bottle7Depth,bottle8Depth,bottle9Depth,bottle10Depth,compositeVolume,compositeSamplesCollected,compositeSampleOthers,volMesoNetA,ctenophorePercentA,scyphozoaPercentA,othersFamilyPercentA,mnemiopsisPercentA,pleurobrachiaPercentA,aureliaPercentA,cyaneaPercentA,chrysaoraPercentA,otherGeneraPercentA,volMesoNetB,ctenophorePercentB,scyphozoaPercentB,otherFamilyPercentB,mnemiopsisPercentB,pleurobrachiaPercentB,aureliaPercentB,cyaneaPercentB,chrysaoraPercentB,otherGeneraPercentB,gelatinousFormsNotes,senjiSamples,senjiLugolsSfc,senjiLugolsBtm,phytoplanktonNotes,SourceFile,regSampleName,ActivityCommentText,surveyPlankStation,S123_x,S123_y,editor,editorDate,ESRIsurveyStart,ESRIsurveyEnd,s123FormIssues
HYJUL25,21,7/15/2025,7:34:00,7:41:00,KAO,41.163666666666664,-73.01466667,22.1,01,20,1,EXO 1313,NA,R,R,14.3,13.6,2.5,073352,NA,1,NA,NA,NA,NA,NA,NA,"21NB, 21S",4.52,21NB,13.2,NB,7:38:00,18.3,27.58,4.52,7.55,0.91,1.87,4.44,NA,NA,NA,HYJUL25_21NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,21,7/15/2025,7:34:00,7:41:00,KAO,41.163666666666664,-73.01466667,22.1,01,20,1,EXO 1313,NA,R,R,14.3,13.6,2.5,073352,NA,1,NA,NA,NA,NA,NA,NA,"21NB, 21S",4.52,21S,2,S,7:40:00,24.21,26.99,7.88,8.07,1.83,1.4,1.35,NA,NA,NA,HYJUL25_21S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,18,7/15/2025,8:08:00,8:16:00,KAO,41.12233333333333,-73.09,25.5,01,80,2,EXO 1313,NA,R,R,12.6,11.8,1.9,080829,Wind speed: 5.8 kts,1,NA,NA,NA,NA,NA,NA,"18NB, 18S",5.35,18NB,11.4,NB,8:12:00,19.58,27.39,5.35,7.68,0.66,1.76,5.51,NA,NA,NA,HYJUL25_18NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,18,7/15/2025,8:08:00,8:16:00,KAO,41.12233333333333,-73.09,25.5,01,80,2,EXO 1313,NA,R,R,12.6,11.8,1.9,080829,Wind speed: 5.8 kts,1,NA,NA,NA,NA,NA,NA,"18NB, 18S",5.35,18S,2,S,8:14:00,22.79,26.82,6.37,7.84,1.32,1.65,2.7,NA,NA,NA,HYJUL25_18S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,16,7/15/2025,8:38:00,8:44:00,KAO,41.1205,-73.162,25.7,01,85,1,EXO 1313,NA,R,R,8.9,8.2,2.1,083751,NA,1,NA,NA,NA,NA,NA,NA,"16NB, 16S",6.03,16NB,7.8,NB,8:41:00,21.42,26.99,6.03,7.76,1.21,1.76,3.98,NA,NA,NA,HYJUL25_16NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,16,7/15/2025,8:38:00,8:44:00,KAO,41.1205,-73.162,25.7,01,85,1,EXO 1313,NA,R,R,8.9,8.2,2.1,083751,NA,1,NA,NA,NA,NA,NA,NA,"16NB, 16S",6.03,16S,2,S,8:42:00,22.72,26.68,6.64,7.85,2.39,1.69,1.66,NA,NA,NA,HYJUL25_16S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,F2,7/15/2025,9:00:00,9:10:00,KAO,41.08016666666666,-73.16516667,25.7,01,90,1,EXO 1313,NA,R,R,19.2,18.4,2.1,090048,Altabet: 1/2,2,NA,NA,NA,NA,NA,NA,"F2NB, F2B, F2S",4.96,F2NB,17.6,NB,9:05:00,17.25,27.47,4.97,7.64,0.49,1.81,4.29,NA,NA,NA,HYJUL25_F2NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WQMAR25,F2,3/13/2025,8:05:00,8:20:00,KAO,41.08,-73.16833333,NA,01,15,2,EXO 1314,NA,R,R,19.6,20,2.5,080501,Altabet: 23/24,3,"S,B",Y,Y,NA,NA,NA,"F2B, F2S",11.14,F2B,14.7,B,8:09:00,2.57,28.24,11.14,7.89,0.62,1.92,1.43,NA,NA,NA,WQMAR25_F2B,NA,72927.8,13665.9,25321.6,73243.4,13958.4,25673.9,315.59999999999127,292.5,352.3000000000029,3989.8,3697.8,15.3,11.4,7.8,4.8,2,NA,NA,NA,NA,NA,25,"wholeWater,64micron",NA,50,NA,NA,NA,NA,NA,NA,100,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B,S",Y,Y,NA,FDS_WQMAR25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WQFEB25,K2,2/3/2025,12:00:00,12:20:00,KAO,41.234,-72.26583333,NA,02,100,2,EXO 1313,NA,R,R,38,38.1,2.5,120051,"Altabet: 31/32, #8",3,"S,B",Y,Y,NA,NA,NA,"K2B, K2S",10.44,K2S,2,S,12:11,3.51,30.62,10.94,8.06,1.35,1.6,2.06,NA,NA,NA,WQFEB25_K2S,NA,70935.9,11885.3,22738.6,71233.4,12180.1,23365.5,297.5,294.8000000000011,626.9000000000015,3761,3726.9,32.8,26.8,20.7,14.6,7.9,2,NA,NA,NA,NA,30,"wholeWater,64micron",NA,5,100,NA,NA,NA,100,NA,NA,NA,NA,5,100,NA,NA,NA,100,NA,NA,NA,NA,NA,"S,B",Y,Y,NA,FDS_WQFEB25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,13,7/15/2025,9:32:00,9:40:00,KAO,41.059,-73.23316667,27.1,01,65,1,EXO 1313,NA,R,R,21.4,20.6,2.3,093230,Wind speed: 2.8 kts,2,NA,NA,NA,NA,NA,NA,"13NB, 13S",5.05,13NB,20.4,NB,9:37:00,17.1,27.56,5.05,7.65,0.39,1.89,4.47,NA,NA,NA,HYJUL25_13NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,13,7/15/2025,9:32:00,9:40:00,KAO,41.059,-73.23316667,27.1,01,65,1,EXO 1313,NA,R,R,21.4,20.6,2.3,093230,Wind speed: 2.8 kts,2,NA,NA,NA,NA,NA,NA,"13NB, 13S",5.05,13S,2,S,9:39:00,24.85,26.33,8.33,8.14,2.04,1.53,2.36,NA,NA,NA,HYJUL25_13S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,E1,7/15/2025,10:04:00,10:15:00,KAO,41.01983333333333,-73.291,28.9,01,25,1,EXO 1313,NA,R,R,37.1,36.2,2.7,100316,Altabet: 3/4,3,NA,NA,NA,NA,NA,NA,"E1NB, E1B, E1S, BLANK B, E1S-DUP",5.55,E1NB,35.8,NB,10:10:00,17.33,28.06,5.56,7.74,0.39,1.71,6.33,NA,NA,NA,HYJUL25_E1NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WQMAR25,E1,3/13/2025,8:57:00,9:09:00,KAO,41.01833333333333,-73.29166667,NA,01,10,3,EXO 1314,NA,R,R,37.2,38.8,3.1,085709,"Altabet: 25/26, SOG =2.1 kts",3,"S,B",Y,Y,NA,NA,NA,"E1B, E1S, BLANK B, E1S-DUP",10.93,E1B,32.8,B,9:04:00,2.32,28.39,10.93,7.81,0.99,1.9,1.8,NA,NA,NA,WQMAR25_E1B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S,B",Y,Y,NA,FDS_WQMAR25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WQMAR25,H2,3/4/2025,13:47:00,13:55:00,KAO,41.177,-72.96233333,NA,02,100,2,EXO 1313,NA,R,R,15.3,15.4,2.3,134721,Altabet: 9/10,3,NA,NA,NA,NA,NA,NA,"H2B, H2S",NA,H2S,2,S,13:53:00,1.88,32.46,NA,8.07,0.5,1.92,1.28,NA,NA,NA,WQMAR25_H2S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_WQMAR25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,10,7/15/2025,10:44:00,10:51:00,KAO,40.9515,-73.33433333,27.5,01,60,0,EXO 1313,NA,R,R,16.5,15.7,1.9,104351,Wind speed: <1 kts,3,NA,NA,NA,NA,NA,NA,"10NB, 10S",5.51,10NB,15.1,NB,10:48:00,19.02,27.02,5.51,7.72,1.2,1.78,11.02,NA,NA,NA,HYJUL25_10NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,10,7/15/2025,10:44:00,10:51:00,KAO,40.9515,-73.33433333,27.5,01,60,0,EXO 1313,NA,R,R,16.5,15.7,1.9,104351,Wind speed: <1 kts,3,NA,NA,NA,NA,NA,NA,"10NB, 10S",5.51,10S,2,S,10:50:00,19.56,26.89,5.7,7.74,1.56,1.95,2.18,NA,NA,NA,HYJUL25_10S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,15,7/15/2025,11:26:00,11:34:00,KAO,40.931333333333335,-73.22116667,27,01,5,1,EXO 1313,NA,R,R,15.4,14.6,2.2,112529,Altabet: 5/6 #1,3,NA,NA,NA,NA,NA,NA,"15NB, 15B, 15S",5.14,15NB,14.3,NB,11:30:00,18.84,26.99,5.14,7.68,0.82,1.77,6.49,NA,NA,NA,HYJUL25_15NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WQMAR25,15,3/13/2025,10:44:00,10:53:00,KAO,40.931,-73.22266667,NA,00,5,3,EXO 1314,NA,R,R,16.2,16.6,2.6,104328,"Altabet: 27/28
Sog 1.7 kts",3,"S,B",Y,Y,NA,NA,NA,"15B, 15S",11.11,15B,12.3,B,10:49:00,3.13,28.06,11.11,7.85,0.69,1.92,0.95,NA,NA,NA,WQMAR25_15B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_WQMAR25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WQMAR25,I2,3/4/2025,11:43:00,12:02:00,KAO,41.1385,-72.6555,NA,01,60,2,EXO 1313,NA,R,R,27.3,27.9,2.6,114326,"Altabet: 7/8, DO calibration issues, returning negative numbers, also water in battery compartment",3,"B,S",Y,Y,NA,NA,NA,"I2B, I2S",NA,I2S,2,S,11:51:00,1.88,32.74,NA,8.06,0.08,1.89,0.65,NA,NA,NA,WQMAR25_I2S,Extra bottle in composite. Botle double tripped at unknown depth,71696.6,12512.3,23922,72109.8,12904.4,24434.9,413.1999999999971,392.1000000000003,512.9000000000015,5223.7,4956.9,21.8,17.1,13.5,9.7,6.2,2,NA,NA,NA,NA,30,"wholeWater,64micron",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S,B",Y,Y,NA,FDS_WQMAR25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,14,7/15/2025,11:58:00,12:07:00,KAO,40.9915,-73.21916667,27.2,01,35,1,EXO 1313,NA,R,R,25.9,25.1,2.6,115744,NA,3,NA,NA,NA,NA,NA,NA,"14NB, 14S",4.79,14NB,24.5,NB,12:02:00,17,27.49,4.79,7.64,0.36,1.75,10.7,NA,NA,NA,HYJUL25_14NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,14,7/15/2025,11:58:00,12:07:00,KAO,40.9915,-73.21916667,27.2,01,35,1,EXO 1313,NA,R,R,25.9,25.1,2.6,115744,NA,3,NA,NA,NA,NA,NA,NA,"14NB, 14S",4.79,14S,2,S,12:05:00,22.37,26.59,7.6,8.03,2.5,1.74,1.23,NA,NA,NA,HYJUL25_14S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,F3,7/15/2025,12:33:00,12:46:00,KAO,41.018166666666666,-73.145,27.3,01,5,1,EXO 1313,NA,R,R,40,39.5,2.4,123304,Altabet: 7/8 #2,3,NA,NA,NA,NA,NA,NA,"F3NB, F3B, F3S",5.78,F3NB,39,NB,12:40:00,18.02,28.49,5.78,7.77,0.22,1.64,4.68,NA,NA,NA,HYJUL25_F3NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WQMAR25,F3,3/14/2025,8:17:00,8:31:00,KAO,41.0165,-73.14583333,NA,02,100,2,EXO 1314,NA,R,R,38.9,40,3.1,081704,"Altabet: 29/30, #7",3,NA,NA,NA,NA,NA,NA,"F3B, F3S",10.93,F3B,33.9,B,8:25:00,2.38,28.43,10.93,7.83,0.54,1.91,1.25,NA,NA,NA,WQMAR25_F3B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_WQMAR25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WQMAR25,J2,3/4/2025,10:40:00,10:49:00,KAO,41.18216666666667,-72.45783333,NA,02,100,2,EXO 1313,NA,R,R,16.9,15.1,2.1,103943,"Altabet: 5/6, #2, YSI battery compartment filled with water, removed batteries, dried out, installed new batteries, seems to work correctly, DO issues persist (negative values), SOG 1.2 KTS",3,NA,NA,NA,NA,NA,NA,"J2B, J2S, J2SS",NA,J2S,2,S,10:46:00,2.44,33.79,NA,8.07,0.99,1.66,2.13,NA,NA,NA,WQMAR25_J2S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S,B",Y,Y,NA,FDS_WQMAR25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,19,7/15/2025,13:13:00,13:23:00,KAO,41.055,-73.0815,27.6,01,5,1,EXO 1313,NA,R,R,25.9,25.4,2.6,131256,NA,3,NA,NA,NA,NA,NA,NA,"19NB, 19S",5.91,19NB,24.9,NB,13:18:00,18.45,28.88,5.91,7.79,0.24,1.48,5.92,NA,NA,NA,HYJUL25_19NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,19,7/15/2025,13:13:00,13:23:00,KAO,41.055,-73.0815,27.6,01,5,1,EXO 1313,NA,R,R,25.9,25.4,2.6,131256,NA,3,NA,NA,NA,NA,NA,NA,"19NB, 19S",5.91,19S,2,S,13:21:00,23.29,27.21,7.35,8.03,2.09,1.55,1.18,NA,NA,NA,HYJUL25_19S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,22,7/15/2025,13:45:00,13:55:00,KAO,41.0825,-73.02283333,28.4,01,5,1,EXO 1313,NA,R,R,27.9,27.2,2.5,134450,NA,3,NA,NA,NA,NA,NA,NA,"22NB, 22S",5.23,22NB,26.9,NB,13:50:00,17.73,28.29,5.23,7.71,0.41,1.59,10.94,NA,NA,NA,HYJUL25_22NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,22,7/15/2025,13:45:00,13:55:00,KAO,41.0825,-73.02283333,28.4,01,5,1,EXO 1313,NA,R,R,27.9,27.2,2.5,134450,NA,3,NA,NA,NA,NA,NA,NA,"22NB, 22S",5.23,22S,2,S,13:52:00,21.55,27.23,7.55,7.99,1.78,1.49,2.18,NA,NA,NA,HYJUL25_22S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,20,7/15/2025,14:29:00,14:39:00,KAO,40.994166666666665,-73.0425,28.4,01,5,1,EXO 1313,NA,R,R,24.1,23.4,2.5,142922,NA,3,NA,NA,NA,NA,NA,NA,"20NB, 20S",5.41,20NB,23,NB,14:34:00,17.91,28.08,5.41,7.73,0.37,1.69,NA,NA,NA,NA,HYJUL25_20NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,20,7/15/2025,14:29:00,14:39:00,KAO,40.994166666666665,-73.0425,28.4,01,5,1,EXO 1313,NA,R,R,24.1,23.4,2.5,142922,NA,3,NA,NA,NA,NA,NA,NA,"20NB, 20S",5.41,20S,2,S,14:36:00,22.21,26.75,7.84,8.05,1.57,1.45,1.24,NA,NA,NA,HYJUL25_20S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,25,7/15/2025,15:15:00,15:21:00,KAO,40.98083333333334,-72.91783333,26.9,01,75,1,EXO 1313,NA,R,R,12.7,12,2.6,151441,NA,4,NA,NA,NA,NA,NA,NA,"25NB, 25S",5.8,25NB,11.6,NB,15:18:00,18.86,27.78,5.8,7.77,0.7,1.74,2.43,NA,NA,NA,HYJUL25_25NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,25,7/15/2025,15:15:00,15:21:00,KAO,40.98083333333334,-72.91783333,26.9,01,75,1,EXO 1313,NA,R,R,12.7,12,2.6,151441,NA,4,NA,NA,NA,NA,NA,NA,"25NB, 25S",5.8,25S,2,S,15:19:00,20.92,27.15,7.21,7.95,1.97,1.57,1.24,NA,NA,NA,HYJUL25_25S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYJUL25,H6,7/15/2025,15:39:00,15:51:00,KAO,41.02616666666667,-72.91316667,28.1,01,55,1,EXO 1313,NA,R,R,41.4,40.6,2.4,153845,Altabet: 9/10 #3,4,NA,NA,NA,NA,NA,NA,"H6NB, H6B, H6S",5.95,H6NB,40.4,NB,15:45:00,18.55,29.05,5.95,7.8,250,1.38,5.86,NA,NA,NA,HYJUL25_H6NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYJUL25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
